Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
simple,275,"THERMAL PROTECTIVE SPRAY 150ML",1,0,visible,"Professional Italian Hair Care: THERMAL PROTECTIVE SPRAY 150ML","THERMAL PROTECTIVE SPRAY 150ML",taxable,1,100,0,0,,,,,1,,,15280.265,"Genus > Styling & Finishing","Genus, Styling & Finishing, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,330,"EXTREME GEL 300ML",1,0,visible,"Professional Italian Hair Care: EXTREME GEL 300ML","EXTREME GEL 300ML",taxable,1,100,0,0,,,,,1,,,"13,077.06400","Genus > Styling & Finishing","Genus, Styling & Finishing, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,359,"HYBRID SHAKE - 2-PHASE LEAVE-IN SPRAY 250ML",1,0,visible,"Professional Italian Hair Care: HYBRID SHAKE - 2-PHASE LEAVE-IN SPRAY 250ML","HYBRID SHAKE - 2-PHASE LEAVE-IN SPRAY 250ML",taxable,1,100,0,0,,,,,1,,,19828.809,"Genus > Styling & Finishing","Genus, Styling & Finishing, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,360,"SMOOTHING ELIXIR - SMOOTHING CREAM 150ML",1,0,visible,"Professional Italian Hair Care: SMOOTHING ELIXIR - SMOOTHING CREAM 150ML","SMOOTHING ELIXIR - SMOOTHING CREAM 150ML",taxable,1,100,0,0,,,,,1,,,"12,977.56460","Genus > Treatments & Serums","Genus, Treatments & Serums, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,361,"ABSOLUTE CURLS - CURLS DEFINER 100ML",1,0,visible,"Professional Italian Hair Care: ABSOLUTE CURLS - CURLS DEFINER 100ML","ABSOLUTE CURLS - CURLS DEFINER 100ML",taxable,1,100,0,0,,,,,1,,,"16,275.25900","Genus > Styling & Finishing","Genus, Styling & Finishing, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,362,"LEAVE-IN ESSENCE - LEAVE-IN CONDITIONER 200ML",1,0,visible,"Professional Italian Hair Care: LEAVE-IN ESSENCE - LEAVE-IN CONDITIONER 200ML","LEAVE-IN ESSENCE - LEAVE-IN CONDITIONER 200ML",taxable,1,100,0,0,,,,,1,,,11726.715,"Genus > Conditioners & Masks","Genus, Conditioners & Masks, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,391,"NEW CATALOGUE - 2024 - IT/EN/ES",1,0,visible,"Professional Italian Hair Care: NEW CATALOGUE - 2024 - IT/EN/ES","NEW CATALOGUE - 2024 - IT/EN/ES",taxable,1,100,0,0,,,,,1,,,"8,528.52000","Genus > Other","Genus, Other, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,656,"GENUS EXPRESSION GLOSSY WAX
100ML",1,0,visible,"Professional Italian Hair Care: GENUS EXPRESSION GLOSSY WAX
100ML","GENUS EXPRESSION GLOSSY WAX 100ML",taxable,1,100,0,0,,,,,1,,,"21,676.65500","Genus > Styling & Finishing","Genus, Styling & Finishing, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,GS-02,"PEROXIDE 10% VOL 1000ML.",1,0,visible,"Professional Italian Hair Care: PEROXIDE 10% VOL 1000ML.","PEROXIDE 10% VOL 1000ML.",taxable,1,100,0,0,,,,,1,,,8329.5212,"Genus > Technical & Coloring","Genus, Technical & Coloring, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,GS-03,"PEROXIDE 20% VOL. 1000ML.",1,0,visible,"Professional Italian Hair Care: PEROXIDE 20% VOL. 1000ML.","PEROXIDE 20% VOL. 1000ML.",taxable,1,100,0,0,,,,,1,,,8329.5212,"Genus > Technical & Coloring","Genus, Technical & Coloring, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,GS-04,"PEROXIDE 30% VOL 1000ML.",1,0,visible,"Professional Italian Hair Care: PEROXIDE 30% VOL 1000ML.","PEROXIDE 30% VOL 1000ML.",taxable,1,100,0,0,,,,,1,,,8329.5212,"Genus > Technical & Coloring","Genus, Technical & Coloring, Italian Cosmetics",,,,,,,,,,,0,,,,
simple,GS-05,"PEROXIDE 40% VOL 1000ML.",1,0,visible,"Professional Italian Hair Care: PEROXIDE 40% VOL 1000ML.","PEROXIDE 40% VOL 1000ML.",taxable,1,100,0,0,,,,,1,,,8329.5212,"Genus > Technical & Coloring","Genus, Technical & Coloring, Italian Cosmetics",,,,,,,,,,,0,,,,
